model,count,char_count_mean,char_count_std,word_count_mean,word_count_std,unique_words_mean,unique_words_std,ttr_mean,ttr_std,herdan_c_mean,herdan_c_std,avg_sentence_len_mean,avg_sentence_len_std,std_sentence_len_mean,std_sentence_len_std,avg_word_len_mean,avg_word_len_std,discourse_markers_mean,discourse_markers_std,discourse_per_100w_mean,discourse_per_100w_std,lexical_density_mean,lexical_density_std,long_sentences_pct_mean,long_sentences_pct_std,short_sentences_pct_mean,short_sentences_pct_std,repeat_word_pct_mean,repeat_word_pct_std,tokens_per_sec_mean,tokens_per_sec_std
deepseek-r1:1.5b,9,12941.8889,10116.9563,1877,1515.4976,481.1111,177.6657,0.3411,0.1344,0.8453,0.042,17.6733,3.9071,7.7189,2.5295,5.7122,0.344,8,12.2066,0.3789,0.4343,0.6564,0.0584,5.5933,4.9388,7.8689,8.8382,17.5278,7.9184,653.0833,14.9924
gemma3:12b,9,24339.2222,14656.54,3333.4444,2014.5295,1081.3333,486.5637,0.3762,0.1022,0.8737,0.0239,20.2444,2.3263,8.3033,0.6294,5.9278,0.2111,11.6667,6.5574,0.3744,0.0749,0.6853,0.0175,11.22,5.1997,2.3889,3.1485,13.6156,5.0593,126.17,1.7967
gemma4:e4b,9,50443.7778,13842.1176,6919.3333,1906.136,1932.6667,301.6281,0.2918,0.0537,0.8588,0.0159,19.4778,2.7295,12.3644,1.6074,5.7578,0.2338,15.1111,4.3141,0.24,0.1072,0.6999,0.0073,15.6822,4.6694,10.7644,7.9881,18.4611,3.6649,161.7278,5.7273
gpt-oss:20b,6,15474.5,12583.8332,1963.5,1590.1213,833,636.177,0.536,0.1712,0.9061,0.0221,16.7,4.8987,9.18,3.7712,5.4867,1.1102,5.5,4.2308,0.6667,0.6175,0.6976,0.1231,4.325,3.8949,18.4033,15.0024,9.27,4.4425,236.1633,1.9388
granite4.1:8b,9,13467,13726.9865,1752.4444,1767.0445,626.1111,433.212,0.4547,0.1181,0.8863,0.0252,21.82,1.8052,10.5733,3.0634,6.1311,0.251,5.2222,5.4722,0.3456,0.1532,0.7052,0.0256,19.9733,7.5231,9.7767,9.0744,11.3156,5.7345,214.1567,7.1603
mistral-nemo:12b,9,6281.5556,3443.6559,855.7778,476.4797,372.6667,163.0989,0.4629,0.0718,0.8832,0.0154,17.4744,6.6877,10.5744,2.2363,5.7644,0.1694,3.7778,6.5532,0.3056,0.3125,0.6857,0.0397,12.6922,10.046,22.0367,24.6951,11.2233,3.413,184.9222,1.3416
phi4:14b,9,10013.8889,4549.1688,1402,686.1891,540.4444,137.0092,0.4144,0.0734,0.8757,0.0202,23.0122,2.531,9.0989,2.0143,5.9411,0.2221,4.8889,3.3333,0.3422,0.1768,0.659,0.0279,19.8333,8.0162,6.8133,6.9901,11.8067,3.7697,147.9189,1.3811
qwen2.5:3b,9,16689.1111,13662.6311,2349.8889,1923.9824,689.2222,331.7517,0.3636,0.1072,0.8615,0.0278,24.0222,2.4208,8.3411,1.5978,5.8878,0.1918,16.1111,12.1906,0.69,0.2016,0.6567,0.0189,20.3389,12.5211,0.4122,0.6363,15.6167,6.0147,414.7889,11.9996
qwen3:14b,9,94090.3333,169217.5149,13610.4444,24679.8833,1224.4444,572.7762,0.2629,0.146,0.8233,0.0726,26.8811,5.4721,8.2433,1.5549,5.7033,0.1966,114.3333,244.7162,0.5322,0.2974,0.6335,0.0356,34.8711,21.7368,2.3689,4.6238,19.9078,8.7941,110.4744,9.8592
